year,month,temp,vapour pressure,PET(Potential Evapo-Transpiration),rainfall
1994,Feb,24.59,22.79,6.67,1.41
1994,Mar,26.98,24.06,7.47,4.87
1994,Apr,27.74,35,7.55,18.34
1994,May,27.69,46.3,7.24,92.14
1994,Jun,25.07,70.02,5.92,43.56
1994,Jul,23.75,80,5.31,98.22
1994,Aug,24.59,72.95,5.46,49.76
1994,Sep,24.82,63.78,5.81,51.71
1994,Oct,24.27,58.18,5.47,199.81
1994,Nov,22.47,45.97,5.27,35.93
1994,Dec,21.25,35.85,5.28,6.67
1995,Jan,22.37,25.85,5.83,16.37
1995,Feb,24.98,22.79,6.7,0.1
1995,Mar,26.47,24.06,7.46,15.62
1995,Apr,28.07,35,7.6,36.34
1995,May,26.25,46.3,7.16,170.96
1995,Jun,25.95,70.02,5.91,90
1995,Jul,24.17,80,5.35,96.59
1995,Aug,24.61,72.95,5.47,162.77
1995,Sep,24.73,63.78,5.77,158.1
1995,Oct,24.52,58.18,5.42,174.22
1995,Nov,24.48,45.97,5.36,19.97
1995,Dec,22.23,35.85,5.35,0.25
1996,Jan,22.98,19,6.03,0.03
1996,Feb,24.35,11.18,6.87,0.04
1996,Mar,27.08,22.15,7.51,0.7
1996,Apr,27.69,34.52,7.55,101.24
1996,May,28.27,45.1,7.29,126.53
1996,Jun,25.05,77.03,5.78,206.44
1996,Jul,24.58,84.16,5.29,51.53
1996,Aug,24.17,78.71,5.36,203.06
1996,Sep,24.44,77.12,5.52,171.74
1996,Oct,24.14,56.25,5.45,184.89
1996,Nov,23.75,54.42,5.17,13.34
1996,Dec,21.86,49.54,5.07,21.87
1997,Jan,22.61,31.06,5.78,4.44
1997,Feb,24.66,16.22,6.82,0
1997,Mar,26.58,28.48,7.39,22.58
1997,Apr,26.85,34.34,7.5,73.29
1997,May,27.6,46.71,7.18,83.37
1997,Jun,26.43,66.86,6.02,76.1
1997,Jul,24.84,87.23,5.27,33.48
1997,Aug,24.52,76.24,5.42,114.25
1997,Sep,25.21,64.07,5.79,161.38
1997,Oct,24.9,46.76,5.69,314.38
1997,Nov,24.35,55.06,5.15,180.44
1997,Dec,23.12,47.56,5.15,27.5
1998,Jan,23.53,23.82,5.96,0.03
1998,Feb,25.72,17.86,6.81,0.18
1998,Mar,27.92,21.18,7.57,0.19
1998,Apr,28.91,30.16,7.72,95.81
1998,May,28.08,51.58,7.17,125.06
1998,Jun,26.26,75.43,5.89,59.41
1998,Jul,24.55,81.26,5.36,214.57
1998,Aug,24.76,76.35,5.43,256.6
1998,Sep,24.59,74.17,5.58,144.88
1998,Oct,24.51,60.5,5.39,219.25
1998,Nov,23.91,44.86,5.35,57.15
1998,Dec,22.48,45.4,5.17,45.44
1999,Jan,22.71,22.68,5.96,0.04
1999,Feb,24.47,18.68,6.73,10.57
1999,Mar,27.49,27,7.43,0.56
1999,Apr,27.89,33.22,7.65,77.58
1999,May,25.82,59.38,6.91,226.05
1999,Jun,24.77,66.85,5.91,73.12
1999,Jul,24.24,84.33,5.25,99.26
1999,Aug,24.56,71.26,5.5,68.21
1999,Sep,25.22,60.32,5.87,100.09
1999,Oct,24.7,58.75,5.46,194.14
1999,Nov,23.53,36.84,5.5,67.57
1999,Dec,22.09,41.6,5.21,5.65
2000,Jan,23.17,23.04,5.94,0.04
2000,Feb,25.03,36.93,6.46,11.83
2000,Mar,26.54,20.46,7.52,0.07
2000,Apr,28.09,33.22,7.61,80.11
2000,May,26.86,46.22,7.24,73.29
2000,Jun,24.39,84.61,5.58,89.69
2000,Jul,24.06,79.21,5.35,99.86
2000,Aug,24.07,73.16,5.44,193.46
2000,Sep,24.91,63.67,5.79,132.48
2000,Oct,24.34,60.58,5.4,291.84
2000,Nov,23.75,39.67,5.45,13.41
2000,Dec,21.9,35.44,5.32,14.7
2001,Jan,23.2,36.97,5.65,0.46
2001,Feb,26.06,19.39,6.81,0.12
2001,Mar,27.43,27.89,7.47,3.65
2001,Apr,28.13,39.5,7.51,102.72
2001,May,27.4,45.97,7.26,71.6
2001,Jun,25.16,84.44,5.61,35.69
2001,Jul,24.73,82.74,5.34,97.21
2001,Aug,24.16,76.56,5.38,64.21
2001,Sep,25.32,68.42,5.72,150.75
2001,Oct,24.21,60.91,5.39,165.14
2001,Nov,23.77,45.88,5.33,32.04
2001,Dec,22.21,44.84,5.15,8.25
2002,Jan,23.35,34.91,5.78,0.61
2002,Feb,24.13,24.29,6.64,0.12
2002,Mar,27.28,26.14,7.42,0.71
2002,Apr,28.56,29.63,7.71,10.39
2002,May,27.5,56.99,7.05,218.1
2002,Jun,25.29,79.28,5.73,160.31
2002,Jul,24.93,73.37,5.5,33.81
2002,Aug,24.72,71.76,5.5,40.27
2002,Sep,25.87,55.25,5.99,60.21
2002,Oct,25.09,60.42,5.47,183.97
2002,Nov,23.67,41.47,5.41,35.17
2002,Dec,22.78,36.1,5.35,4.54
