temp,vapour pressure,PET(Pote0tial Evapo-Tra0spiratio0),rainfall,rain
23.37,49.69,5.24,122.02,1
22.47,33.62,5.4,0.51,0
22.15,21.65,5.94,0,0
24.47,23.28,6.65,0.4,0
26.7,24.04,7.47,33.04,1
28.08,35.27,7.65,85.3,1
26.12,47.22,7.2,146.45,1
24.7,70.41,5.83,122.16,1
23.88,80.91,5.24,47.47,1
24.07,74.09,5.36,111.49,1
24.69,62.29,5.77,122.54,1
23.97,58.72,5.41,267.59,1
23.47,50.32,5.22,88.03,1
21.78,31.91,5.39,0.13,0
22.44,26.17,5.86,0,0
24.2,24.02,6.63,10.51,1
26.57,23.53,7.46,5.44,0
28.08,33,7.67,78.94,1
26.7,45.78,7.29,111.08,1
23.78,72.16,5.77,50.84,1
23.28,81.6,5.18,98.67,1
23.52,74.59,5.31,55.56,1
24.11,63.04,5.7,168.86,1
24.43,55.03,5.49,97.55,1
23.5,46.07,5.31,53.55,1
21.98,39.65,5.25,37.68,1
22.78,29.36,5.81,0,0
24.66,27.11,6.6,31.75,1
26.62,22.93,7.49,9.77,0
28.4,30.05,7.74,37.13,1
27.25,43.37,7.34,86.89,1
25.01,68.71,5.94,176.02,1
23,80.84,5.2,113.62,1
23.87,72.34,5.36,98.44,1
24.07,65.27,5.67,224.46,1
24.27,54.9,5.48,189.68,1
23.28,52.78,5.17,102.35,1
22.65,35.71,5.37,0.54,0
22.07,22.32,5.94,0,0
24.53,20.7,6.71,0,
26.66,22.06,7.51,3.45,0
28.04,35,7.61,57.53,1
27.83,42.94,7.4,131.66,1
24.18,74.47,5.77,72.38,1
23.84,79.49,5.25,66.24,1
23.77,72.76,5.35,63.4,1
24.89,61.68,5.77,211.58,1
24.78,51.44,5.59,114.87,1
23.36,43.19,5.34,37.22,1
22.78,35.35,5.37,4.98,0
22.78,24.47,5.93,0.39,0
24.57,21.78,6.72,0,0
26.46,23.34,7.47,62.92,1
28.27,33.54,7.67,32.6,1
27.21,44.64,7.34,131.9,1
24.47,70.33,5.84,17.36,1
24.51,80,5.3,90.9,1
23.46,72.97,5.37,123.21,1
24.12,63.01,5.71,196.51,1
24.3,56.9,5.46,128.06,1
23.11,44.06,5.35,43.74,1
21.59,34.97,5.33,8.41,0
21.96,24.31,5.86,0,0
24.86,22.37,6.68,0,0
27.3,23.47,7.51,1,0
28.38,33.48,7.69,13.83,1
27.34,44.78,7.34,73.7,1
24.6,69.27,5.88,100.19,1
24.18,80,5.27,51.95,1
24.31,72.97,5.39,61.48,1
24.76,63.01,5.74,108.01,1
25.23,56.79,5.51,96.1,1
23.47,44.54,5.36,46.48,1
21.95,34.28,5.36,1,0
22.35,24.31,5.85,0,0
26.05,22.44,6.72,0,0
28.07,23.02,7.57,0,0
29.15,33.48,7.72,7.15,1
28.04,44.78,7.37,106.82,1
25.38,69.3,5.9,187.73,1
24.71,79.61,5.33,91.49,1
24.05,72.97,5.41,132.15,1
23.9,63.01,5.71,140.62,1
24.26,57.2,5.44,66.3,1
22.9,44.31,5.31,9.88,0
22.03,34.31,5.34,39.79,1
22.83,24.31,5.94,0.2,0
23.51,22.44,6.66,12.66,1
25.56,23.02,7.4,37.62,1
27.47,33.48,7.57,42.4,1
28.16,44.78,7.36,62.37,1
24.43,70.07,5.87,69.61,1
23.62,80,5.24,162.57,1
24.04,72.97,5.37,34.87,1
24.53,63.01,5.75,130.08,1
23.99,56.37,5.46,140.48,1
23,43.62,5.31,8.8,0
22.5,34.05,5.37,6,0
23.08,24.31,5.92,2.06,0
25.14,21.81,6.72,0,0
27.26,22.29,7.55,17.87,1
28.43,33.48,7.69,13.22,1
27.65,44.78,7.36,85.28,1
24.11,69.27,5.86,78.58,1
23.67,80,5.22,68.86,1
24.15,72.97,5.37,51.38,1
25.06,63.01,5.79,88.61,1
23.86,56.76,5.48,80.47,1
22.64,43.62,5.28,84.34,1
22.71,34.31,5.38,3.13,0
21.92,24.31,5.9,12.94,1
24.1,21.59,6.65,9.96,1
27.05,23.02,7.47,0.01,0
28.94,33.45,7.71,17.68,1
27.72,44.78,7.36,84.98,1
24.74,69.27,5.89,123.87,1
24.44,79.61,5.3,59.12,1
23.94,72.97,5.38,77.59,1
24.73,63.01,5.75,295.76,1
24.8,56.39,5.5,99.12,1
23.29,44.51,5.33,89.34,1
22.7,34.37,5.4,13.08,1
22.39,24.31,5.93,0.27,0
23.64,21.78,6.66,0,0
26.02,23.02,7.41,22.35,1
28.34,33.48,7.64,60.18,1
27.56,44.78,7.33,97.91,1
25.17,69.08,5.88,78.89,1
25.04,80,5.33,52.26,1
24.42,72.97,5.4,110.79,1
25.69,63.01,5.79,74.39,1
24.7,56.37,5.51,147.22,1
